CreditScore,Geography,Gender,Age,Balance,NumOfProducts,HasCrCard,EstimatedSalary,Exited
619,France,Female,42,0,1,1,101348.88,Churn
608,Spain,Female,41,83807.86,1,0,112542.58,Stay
502,France,Female,42,159660.8,3,1,113931.57,Churn
699,France,Female,39,0,2,0,93826.63,Stay
850,Spain,Female,43,125510.82,1,1,79084.1,Stay
645,Spain,Male,44,113755.78,2,1,149756.71,Churn
822,France,Male,50,0,2,1,10062.8,Stay
376,Germany,Female,29,115046.74,4,1,119346.88,Churn
501,France,Male,44,142051.07,2,0,74940.5,Stay
684,France,Male,27,134603.88,1,1,71725.73,Stay
528,France,Male,31,102016.72,2,0,80181.12,Stay
497,Spain,Male,24,0,2,1,76390.01,Stay
476,France,Female,34,0,2,1,26260.98,Stay
549,France,Female,25,0,2,0,190857.79,Stay
635,Spain,Female,35,0,2,1,65951.65,Stay
616,Germany,Male,45,143129.41,2,0,64327.26,Stay
653,Germany,Male,58,132602.88,1,1,5097.67,Churn
549,Spain,Female,24,0,2,1,14406.41,Stay
587,Spain,Male,45,0,1,0,158684.81,Stay
726,France,Female,24,0,2,1,54724.03,Stay
732,France,Male,41,0,2,1,170886.17,Stay
636,Spain,Female,32,0,2,1,138555.46,Stay
510,Spain,Female,38,0,1,1,118913.53,Churn
669,France,Male,46,0,2,0,8487.75,Stay
846,France,Female,38,0,1,1,187616.16,Stay
577,France,Male,25,0,2,0,124508.29,Stay
756,Germany,Male,36,136815.64,1,1,170041.95,Stay
571,France,Male,44,0,2,0,38433.35,Stay
574,Germany,Female,43,141349.43,1,1,100187.43,Stay
411,France,Male,29,59697.17,2,1,53483.21,Stay
591,Spain,Female,39,0,3,1,140469.38,Churn
533,France,Male,36,85311.7,1,0,156731.91,Stay
553,Germany,Male,41,110112.54,2,0,81898.81,Stay
520,Spain,Female,42,0,2,1,34410.55,Stay
722,Spain,Female,29,0,2,1,142033.07,Stay
475,France,Female,45,134264.04,1,1,27822.99,Churn
490,Spain,Male,31,145260.23,1,0,114066.77,Stay
804,Spain,Male,33,76548.6,1,0,98453.45,Stay
850,France,Male,36,0,1,1,40812.9,Stay
582,Germany,Male,41,70349.48,2,0,178074.04,Stay
472,Spain,Male,40,0,1,1,70154.22,Stay
465,France,Female,51,122522.32,1,0,181297.65,Churn
556,France,Female,61,117419.35,1,1,94153.83,Stay
834,France,Female,49,131394.56,1,0,194365.76,Churn
660,Spain,Female,61,155931.11,1,1,158338.39,Stay
776,Germany,Female,32,109421.13,2,1,126517.46,Stay
829,Germany,Female,27,112045.67,1,1,119708.21,Churn
637,Germany,Female,39,137843.8,1,1,117622.8,Churn
550,Germany,Male,38,103391.38,1,0,90878.13,Stay
776,Germany,Female,37,103769.22,2,1,194099.12,Stay
698,Germany,Male,44,116363.37,2,1,198059.16,Stay
585,Germany,Male,36,146050.97,2,0,86424.57,Stay
788,France,Female,33,0,2,0,116978.19,Stay
655,Germany,Male,41,125561.97,1,0,164040.94,Churn
601,Germany,Male,42,98495.72,1,1,40014.76,Churn
619,France,Male,43,125211.92,1,1,113410.49,Stay
656,France,Male,45,127864.4,1,1,87107.57,Stay
725,Germany,Male,19,75888.2,1,0,45613.75,Stay
511,Spain,Female,66,0,1,1,1643.11,Churn
614,France,Male,51,40685.92,1,1,46775.28,Stay
742,Germany,Male,35,136857,1,0,84509.57,Stay
687,Germany,Female,27,152328.88,2,0,126494.82,Stay
555,Spain,Male,33,56084.69,2,0,178798.13,Stay
684,Spain,Male,56,78707.16,1,1,99398.36,Stay
603,Germany,Male,26,109166.37,1,1,92840.67,Stay
751,Germany,Female,36,169831.46,2,1,27758.36,Stay
581,Germany,Female,34,101633.04,1,1,110431.51,Stay
735,Germany,Male,43,123180.01,2,1,196673.28,Stay
661,Germany,Female,35,150725.53,2,0,113656.85,Stay
675,France,Female,21,98373.26,1,1,18203,Stay
738,Germany,Male,58,133745.44,4,1,28373.86,Churn
813,France,Male,29,0,1,1,33953.87,Stay
657,Spain,Female,37,163607.18,1,0,44203.55,Stay
604,Germany,Female,25,157780.84,2,1,58426.81,Stay
519,France,Male,36,0,2,0,145562.4,Stay
735,France,Female,21,178718.19,2,1,22388,Stay
664,France,Male,55,0,2,1,139161.64,Stay
678,France,Female,32,0,1,1,148210.64,Stay
757,Spain,Male,33,77253.22,1,0,194239.63,Stay
416,Germany,Female,41,122189.66,2,1,98301.61,Stay
665,France,Female,34,96645.54,2,0,171413.66,Stay
777,France,Female,32,0,1,1,136458.19,Churn
543,France,Female,36,0,2,0,26019.59,Stay
506,France,Female,34,90307.62,1,1,159235.29,Stay
493,France,Female,46,0,2,1,1907.66,Stay
652,Spain,Female,75,0,2,1,114675.75,Stay
750,Spain,Male,22,121681.82,1,1,128643.35,Churn
729,France,Male,30,0,2,1,151869.35,Stay
646,France,Female,46,0,3,1,93251.42,Churn
635,Germany,Female,28,81623.67,2,1,156791.36,Stay
647,Spain,Female,44,0,3,1,174205.22,Churn
808,France,Male,45,118626.55,2,1,147132.46,Stay
524,France,Female,36,0,2,1,109614.57,Stay
769,France,Male,29,0,2,1,172290.61,Stay
730,Spain,Male,42,0,2,0,85982.47,Stay
515,Spain,Male,35,176273.95,1,0,121277.78,Stay
773,Spain,Male,41,102827.44,1,0,64595.25,Stay
814,Germany,Male,29,97086.4,2,1,197276.13,Stay
710,Spain,Male,22,0,2,0,99645.04,Stay
413,France,Male,34,0,2,0,6534.18,Stay
